NomImage;Numero;nbPixBoucleHaut;nbPixBoucleBas;Compacity;distSTDskel;nbPixSkelQuartBasGauche
455,pgm;5;1926;1575;2,43056;13,189485;33
456,pgm;6;1950;2829;1,913662;10,80574;75
457,pgm;7;0;1;0,07958;8,281473;70
458,pgm;8;2080;0;1,469778;12,603957;0
459,pgm;9;0;1071;0,932072;12,240725;117
460,pgm;0;0;569;1,083069;9,814436;124
461,pgm;1;3205;3230;1,242719;3,576661;80
462,pgm;2;0;1120;1,200803;10,991723;105
463,pgm;3;0;414;1,292499;16,062283;100
464,pgm;4;831;0;1,137771;10,17772;69
465,pgm;5;2136;1647;2,113903;13,856888;62
466,pgm;6;1950;3054;1,202683;6,506567;85
467,pgm;7;0;1;0,07958;9,194748;71
468,pgm;8;2348;506;1,126526;9,581547;44
469,pgm;9;0;1;0,07958;10,249813;99
470,pgm;0;0;1;0,07958;10,408897;104
471,pgm;1;2321;2901;1,062121;2,377567;70
472,pgm;2;0;50;0,994748;11,076732;46
473,pgm;3;0;1;0,07958;11,516803;54
474,pgm;4;586;8;0,922938;8,794694;60
475,pgm;5;2536;1847;2,340024;15,477119;110
476,pgm;6;2067;1661;1,882955;9,712994;86
477,pgm;7;0;1;0,07958;8,458867;69
478,pgm;8;1981;0;1,272795;12,046441;0
479,pgm;9;0;961;1,293897;14,844465;129
480,pgm;0;0;344;1,101394;13,909427;60
481,pgm;1;2890;3143;0,926321;2,065822;72
482,pgm;2;0;203;1,101181;10,145575;79
483,pgm;3;0;1;0,07958;12,496261;81
484,pgm;4;138;0;0,922665;7,109191;68
485,pgm;5;1296;2373;2,165855;12,969088;78
486,pgm;6;1513;2972;1,502541;9,297112;73
487,pgm;7;0;1;0,07958;12,542134;53
488,pgm;8;2470;0;1,263096;10,973967;0
489,pgm;9;0;997;1,111404;13,5807;80
490,pgm;0;325;1753;1,146172;13,01044;83
491,pgm;1;2890;3143;0,926321;2,065822;72
492,pgm;2;0;2730;1,37265;11,006601;112
493,pgm;3;0;1;0,07958;12,496261;81
494,pgm;4;0;1;0,07958;12,014623;70
495,pgm;5;2328;2077;2,446542;13,011199;68
496,pgm;6;906;2168;1,630972;10,452663;69
497,pgm;7;0;1;0,07958;13,675155;81
498,pgm;8;2623;0;1,153649;11,293836;0
499,pgm;9;0;1;0,07958;9,757346;78
500,pgm;0;0;1;0,07958;11,334706;53
501,pgm;1;3130;3451;0,901231;4,249927;78
502,pgm;2;0;1990;1,210733;16,213718;109
503,pgm;3;0;564;1,555616;13,256633;144
504,pgm;4;32;0;0,994748;6,767967;68
505,pgm;5;2399;2926;1,947591;13,005556;76
506,pgm;6;2462;2822;1,730771;9,512207;71
507,pgm;7;0;1;0,07958;12,765082;71
508,pgm;8;2535;0;1,062822;14,77708;0
509,pgm;9;0;1;0,07958;9,757346;78
510,pgm;0;0;1;0,07958;15,126661;140
511,pgm;1;2117;3065;0,975229;3,62391;64
512,pgm;2;0;1020;1,238636;12,235341;42
513,pgm;3;0;394;1,493838;15,206359;119
514,pgm;4;737;1609;0,980331;11,524622;90
515,pgm;5;1441;2736;2,074753;12,24045;97
516,pgm;6;2214;3240;1,726652;12,233809;73
