NomImage;Numero;nbPixBoucleHaut;nbPixBoucleBas;Compacity;distSTDskel;nbPixSkelQuartBasGauche
127.pgm;7;502;2469;1.332018;9.223318;94
337.pgm;7;399;3587;1.218034;12.493146;95
074.pgm;4;396;0;1.591797;8.295653;81
154.pgm;4;390;0;1.028620;9.870048;57
364.pgm;4;345;0;1.066600;9.746704;49
174.pgm;4;334;0;0.774116;7.473164;48
384.pgm;4;306;0;0.905285;9.046280;74
344.pgm;4;293;0;0.882440;8.086138;55
134.pgm;4;288;0;1.277698;8.718675;72
153.pgm;3;283;0;1.151798;14.319180;83
009.pgm;9;271;1974;1.110537;11.532092;73
212.pgm;2;271;1880;1.406798;13.702981;62
124.pgm;4;248;0;1.042560;7.582440;70
114.pgm;4;230;34;0.945312;9.312153;81
193.pgm;3;225;395;4.633599;12.642848;99
034.pgm;4;205;0;0.894400;8.526707;56
204.pgm;4;187;0;1.334558;6.765021;71
222.pgm;2;173;2271;1.090445;11.687503;82
219.pgm;9;170;1926;1.149503;13.287863;96
272.pgm;2;134;2395;1.468120;13.263637;95
342.pgm;2;133;2663;1.093397;13.041305;88
349.pgm;9;98;2727;1.016931;11.655319;89
084.pgm;4;88;0;0.869048;9.770634;43
293.pgm;3;87;506;1.315281;13.815404;56
144.pgm;4;74;0;1.033462;5.496406;77
220.pgm;0;70;2767;1.445424;13.307246;98
282.pgm;2;70;1765;1.282991;13.617068;59
122.pgm;2;64;2670;1.199490;12.725181;96
150.pgm;0;59;1878;1.038646;14.194964;90
080.pgm;0;39;1880;1.009200;15.428790;84
239.pgm;9;36;1254;1.141014;14.094389;117
044.pgm;4;32;0;0.805746;6.790414;66
320.pgm;0;26;951;0.967746;15.162185;0
049.pgm;9;17;1523;1.209665;11.786227;78
379.pgm;9;13;1029;1.174299;14.978805;118
380.pgm;0;10;2103;1.166618;16.836574;104
254.pgm;4;8;0;0.487426;4.843861;73
347.pgm;7;8;0;0.487426;7.750360;73
023.pgm;3;1;0;0.079580;14.584029;55
040.pgm;0;1;0;0.079580;8.856346;48
043.pgm;3;1;0;0.079580;11.936417;34
060.pgm;0;1;0;0.079580;13.234183;29
073.pgm;3;1;0;0.079580;12.195551;72
263.pgm;3;1;0;0.079580;10.038710;61
002.pgm;2;0;797;1.343571;10.908481;53
003.pgm;3;0;1;0.079580;15.675240;102
004.pgm;4;0;1;0.079580;13.880056;37
007.pgm;7;0;1;0.079580;12.159955;79
010.pgm;0;0;1;0.079580;13.955261;69
012.pgm;2;0;951;1.307502;13.370730;25
017.pgm;7;0;1;0.079580;11.553398;68
019.pgm;9;0;960;1.134758;15.537159;139
020.pgm;0;0;742;0.967935;15.694549;80
022.pgm;2;0;677;1.152085;13.904449;48
024.pgm;4;0;1;0.079580;10.276919;55
027.pgm;7;0;1;0.079580;12.373379;67
029.pgm;9;0;1;0.079580;12.514082;91
030.pgm;0;0;439;0.939731;13.989541;98
032.pgm;2;0;1310;1.207730;13.317242;27
033.pgm;3;0;1;0.079580;16.075160;84
037.pgm;7;0;1;0.079580;11.579213;43
039.pgm;9;0;1117;1.077854;13.857895;148
042.pgm;2;0;726;1.326330;13.374642;44
047.pgm;7;0;1;0.079580;11.533954;77
050.pgm;0;0;629;0.871582;11.009933;88
052.pgm;2;0;570;1.156141;10.831187;47
053.pgm;3;0;1;0.079580;15.711656;123
054.pgm;4;0;1;0.079580;9.951000;44
057.pgm;7;0;1;0.079580;9.831112;72
059.pgm;9;0;1;0.079580;11.810176;68
062.pgm;2;0;466;1.038978;9.144122;65
063.pgm;3;0;1;0.079580;14.951488;63
067.pgm;7;0;1;0.079580;5.544311;73
069.pgm;9;0;1;0.079580;13.888680;62
072.pgm;2;0;575;0.976548;8.697807;101
077.pgm;7;0;1;0.079580;11.433492;82
079.pgm;9;0;1;0.079580;12.884168;124
082.pgm;2;0;671;1.332577;9.677780;52
083.pgm;3;0;1;0.079580;14.761906;98
087.pgm;7;0;1;0.079580;8.396835;73
089.pgm;9;0;1;0.079580;11.732460;84
090.pgm;0;0;1;0.079580;9.354776;107
092.pgm;2;0;432;1.269040;8.927333;76
093.pgm;3;0;1;0.079580;13.127981;87
097.pgm;7;0;1;0.079580;12.521957;75
099.pgm;9;0;1;0.079580;12.896649;106
100.pgm;0;0;719;1.129059;12.712155;54
102.pgm;2;0;2215;1.164057;13.599824;108
103.pgm;3;0;355;1.067266;15.475917;102
104.pgm;4;0;0;#NOM?;8.449222;74
107.pgm;7;0;1;0.079580;10.946842;73
109.pgm;9;0;1695;1.070501;13.359826;114
110.pgm;0;0;1;0.079580;9.488247;30
112.pgm;2;0;1717;1.015210;13.433981;95
113.pgm;3;0;856;1.005532;13.928879;104
117.pgm;7;0;1;0.079580;9.382135;79
119.pgm;9;0;1183;1.051086;13.723883;146
120.pgm;0;0;540;1.039843;10.138841;28
123.pgm;3;0;951;1.031023;14.500883;101
129.pgm;9;0;1;0.079580;12.908730;109
130.pgm;0;0;386;0.981553;15.828496;98
132.pgm;2;0;145;1.111373;8.989392;57
137.pgm;7;0;1;0.079580;13.502919;51
139.pgm;9;0;1;0.079580;13.021064;136
140.pgm;0;0;1;0.079580;11.702303;75
142.pgm;2;0;566;1.088809;9.136794;111
143.pgm;3;0;1;0.079580;11.986222;54
147.pgm;7;0;1;0.079580;7.659185;72
149.pgm;9;0;1;0.079580;11.096234;97
152.pgm;2;0;1480;1.446202;12.445427;90
157.pgm;7;0;1;0.079580;12.210696;50
159.pgm;9;0;1;0.079580;12.181133;62
160.pgm;0;0;670;1.005319;12.886311;97
162.pgm;2;0;1239;1.136148;13.217105;67
167.pgm;7;0;8;0.487426;12.233377;64
169.pgm;9;0;1;0.079580;14.070553;119
170.pgm;0;0;961;0.983858;13.790466;118
172.pgm;2;0;908;1.119113;11.586240;88
173.pgm;3;0;37;1.344254;14.211249;76
177.pgm;7;0;8;0.487426;12.536841;51
179.pgm;9;0;1;0.079580;13.197971;100
180.pgm;0;0;742;1.518773;11.646360;81
182.pgm;2;0;1294;1.188224;13.698230;22
183.pgm;3;0;1;0.079580;14.833401;65
187.pgm;7;0;1;0.079580;11.477947;52
189.pgm;9;0;1061;1.190772;11.100499;85
190.pgm;0;0;570;0.961799;10.035686;37
192.pgm;2;0;708;1.645661;10.520255;16
194.pgm;4;0;1;0.079580;8.159114;60
197.pgm;7;0;1;0.079580;10.292116;64
199.pgm;9;0;1;0.079580;9.632641;81
200.pgm;0;0;379;1.028868;9.497810;35
202.pgm;2;0;601;1.025401;10.624320;91
203.pgm;3;0;1;0.079580;15.815388;47
207.pgm;7;0;1;0.079580;8.421365;75
209.pgm;9;0;1;0.079580;12.439714;127
210.pgm;0;0;1551;1.020069;13.686182;79
217.pgm;7;0;1;0.079580;8.582927;74
223.pgm;3;0;1;0.079580;12.349375;66
227.pgm;7;0;1;0.079580;10.823082;63
229.pgm;9;0;1;0.079580;11.006620;73
230.pgm;0;0;84;1.095170;12.707495;79
232.pgm;2;0;1591;1.428585;12.522436;79
233.pgm;3;0;1;0.079580;12.220209;73
234.pgm;4;0;1;0.079580;8.840274;71
237.pgm;7;0;1;0.079580;11.716519;91
240.pgm;0;0;379;0.970916;10.313202;71
242.pgm;2;0;714;1.658916;11.716818;40
243.pgm;3;0;1;0.079580;12.916577;27
247.pgm;7;0;1;0.079580;10.662346;80
249.pgm;9;0;1181;1.104010;13.160609;139
250.pgm;0;0;429;1.308893;9.740727;28
252.pgm;2;0;1;0.079580;10.863848;48
253.pgm;3;0;356;1.851125;13.215447;107
259.pgm;9;0;1276;1.222386;13.710337;146
260.pgm;0;0;1150;1.515753;13.462104;108
262.pgm;2;0;1479;1.610375;12.019573;92
267.pgm;7;0;1;0.079580;11.379388;69
269.pgm;9;0;946;1.768674;13.601025;122
270.pgm;0;0;190;1.047103;9.966589;65
273.pgm;3;0;623;1.355156;14.494130;101
274.pgm;4;0;1;0.079580;8.073132;70
277.pgm;7;0;1;0.079580;11.048098;61
279.pgm;9;0;1581;1.117490;12.566812;108
280.pgm;0;0;379;1.028868;12.052593;43
283.pgm;3;0;1;0.079580;13.039308;59
287.pgm;7;0;1;0.079580;10.214281;61
289.pgm;9;0;1219;1.103281;12.723254;135
290.pgm;0;0;626;0.896989;9.954633;66
292.pgm;2;0;1164;1.102700;10.630984;108
294.pgm;4;0;1;0.079580;7.491612;69
297.pgm;7;0;1;0.079580;6.338292;60
299.pgm;9;0;526;1.017290;13.119543;104
300.pgm;0;0;875;1.100475;13.084752;61
302.pgm;2;0;1857;1.297447;12.726533;93
303.pgm;3;0;1;0.079580;15.862082;50
304.pgm;4;0;1;0.079580;7.054279;79
309.pgm;9;0;1;0.079580;13.389508;89
310.pgm;0;0;756;1.862020;12.045476;108
312.pgm;2;0;2043;1.421024;12.686786;98
313.pgm;3;0;1;0.079580;12.813710;77
314.pgm;4;0;1;0.079580;8.147935;66
317.pgm;7;0;1;0.079580;11.926018;57
319.pgm;9;0;1;0.079580;11.496685;120
322.pgm;2;0;325;0.971853;6.724228;94
323.pgm;3;0;381;1.544809;14.409357;98
327.pgm;7;0;1;0.079580;8.134448;57
329.pgm;9;0;1082;1.112720;12.355882;95
330.pgm;0;0;1;0.079580;13.526946;113
332.pgm;2;0;1990;1.210733;16.213718;109
333.pgm;3;0;761;1.174979;14.474979;104
334.pgm;4;0;1;0.079580;12.014623;70
339.pgm;9;0;1;0.079580;13.099570;110
340.pgm;0;0;1;0.079580;15.126661;140
343.pgm;3;0;15;0.763966;13.519916;90
345.pgm;5;0;2261;1.053403;13.870487;75
350.pgm;0;0;1517;1.149055;14.334269;96
352.pgm;2;0;824;1.211468;10.870362;87
353.pgm;3;0;179;0.940731;14.733841;104
357.pgm;7;0;1;0.079580;9.219794;77
359.pgm;9;0;1567;1.157945;13.446951;133
362.pgm;2;0;1213;0.929044;11.535669;115
363.pgm;3;0;1;0.079580;13.910579;60
367.pgm;7;0;1;0.079580;9.657347;65
369.pgm;9;0;1;0.079580;12.186135;98
370.pgm;0;0;1017;1.034851;15.090566;79
372.pgm;2;0;1363;1.647880;11.989834;65
373.pgm;3;0;532;1.378586;10.918840;97
374.pgm;4;0;1;0.079580;6.907984;61
377.pgm;7;0;1;0.079580;10.739347;83
382.pgm;2;0;713;1.326070;11.770281;33
383.pgm;3;0;304;1.140295;13.474496;20
387.pgm;7;0;1;0.079580;11.485701;67
