NomImage;Numero;nbPixBoucleHaut;nbPixBoucleBas;Compacity;distSTDskel;nbPixSkelQuartBasGauche;skelXcentreGrav;skelYcentreGrav;boucleXcentreGrav;boucleYcentreGrav;diffSkelBoucleXcentreGrav;diffSkelBoucleYcentreGrav;nbPixDiagInfSkel;nbPixDiagSupSkel;minorAxisSkel;majorAxisSkel;OrientationSkel;PHI1skel;PHI2skel;PHI3skel;PHI4skel
021,pgm;1;3300;3635;1,046575;3,875923;81;49,200637;50,232484;50,902091;50,630714;-1,701454;-0,39823;164;149;122,600373;140,718435;-0,680776;0,223601;213,321743;838,800193;398,370744
031,pgm;1;3115;3582;1,098171;4,090683;83;51,140575;50,980831;52,720323;50,709123;-1,579747;0,271707;158;153;117,19619;141,669426;0,67938;0,229342;228,338572;872,669452;420,327842
041,pgm;1;2840;2780;1,032272;2,76691;75;49,468864;48,139194;49,205338;48,088612;0,263526;0,050582;135;138;108,563101;128,453176;-0,578117;0,178336;150,918786;564,26348;228,906138
051,pgm;1;3068;3207;1,015692;1,260656;71;50,300353;50,961131;50,126853;50,184382;0,173501;0,776748;144;139;123,258075;126,704968;-0,35309;0,200366;207,645996;1040,583456;330,985352
061,pgm;1;3097;3135;0,958687;1,418922;67;49,080292;50,467153;49,963254;50,951861;-0,882962;-0,484708;141;132;123,936853;125,114034;-0,649902;0,1889;185,712873;922,636597;293,185657
071,pgm;1;3397;3271;1,124823;4,367657;82;47,487179;47,060897;49,075735;47,29754;-1,588555;-0,236643;159;152;118,262627;139,391689;-0,778756;0,204618;166,006707;485,937762;303,771156
081,pgm;1;3536;3147;1,001446;2,839047;77;47,636054;47,343537;48,601227;47,91411;-0,965173;-0,570573;149;144;123,082314;134,414281;-0,72287;0,193647;162,047984;591,517246;283,260222
091,pgm;1;2362;2620;0,927755;2,755061;65;50,439834;50,311203;51,308511;50,21658;-0,868677;0,094624;122;118;102,533282;121,002688;0,581922;0,160206;136,015312;559,941896;188,411335
101,pgm;1;3615;3507;1,019095;3,702527;67;47,27439;52,036585;50,175934;52,969812;-2,901543;-0,933226;177;148;125,724578;138,132517;0,614864;0,233639;282,995822;1629,626483;490,237701
111,pgm;1;3487;3413;0,904211;4,166544;63;46,937294;48,937294;50,004203;50,262174;-3,066909;-1,32488;162;140;117,596045;143,030871;0,653555;0,204249;229,032759;1458,568393;374,273279
121,pgm;1;3098;3306;1,155983;2,736671;82;50,616393;48,144262;50,293567;47,950031;0,322827;0,194231;151;153;120,869387;131,975143;-0,774034;0,209888;205,918237;861,432953;343,280953
131,pgm;1;3157;3149;1,128214;3,226378;82;50,494983;48,675585;49,335236;48,462575;1,159747;0,21301;144;153;116,816341;134,127892;-0,610452;0,2062;194,865252;757,583573;324,7741
141,pgm;1;3359;3153;1,085228;4,841544;74;48,114094;51,375839;48,623618;50,812193;-0,509524;0,563646;153;143;115,279043;140,631291;-0,64846;0,209229;184,53307;631,19803;332,414143
151,pgm;1;3633;3457;1,064776;1,528984;74;49,069841;49,177778;49,628491;50,314951;-0,55865;-1,137173;153;160;129,330159;136,097757;0,460183;0,221425;239,794975;1235,652322;419,986853
161,pgm;1;3077;3561;0,9399;1,82066;71;51,367857;51,028571;51,771015;50,191624;-0,403158;0,836947;143;137;125,300392;131,819268;-0,540653;0,204676;207,991714;1043,887441;353,655409
171,pgm;1;3454;3451;0,871575;2,635908;68;50,430605;48,33452;50,201593;50,023027;0,229012;-1,688507;133;146;123,623314;138,657029;-0,652805;0,197719;206,578344;1213,578508;345,388977
181,pgm;1;2644;2707;1,259372;2,135426;74;50,177258;48,732441;49,822837;49,056999;0,354421;-0,324557;141;156;111,663811;120,211492;0,287685;0,196595;220,301609;1096,759071;301,934285
191,pgm;1;2520;2684;1,090155;2,888716;71;50,791971;50,587591;51,630477;49,506533;-0,838506;1,081058;138;134;104,871936;122,396194;-0,469683;0,185296;183,272471;813,690731;258,345983
201,pgm;1;3355;3247;1,006753;3,549353;76;48,394464;49,885813;48,852923;49,495607;-0,45846;0,390206;148;139;117,495725;139,768472;0,747205;0,199826;167,233245;573,540072;301,336351
211,pgm;1;2791;3190;1,134475;2,496077;76;50,873288;48,753425;51,095636;48,553419;-0,222349;0,200005;144;146;117,602049;126,318719;0,322268;0,199338;217,472136;1166,66768;325,82548
221,pgm;1;2108;2687;1,130565;2,863574;71;52,980843;49,114943;52,754536;48,68342;0,226307;0,431522;124;135;101,337139;117,369084;-0,359099;0,175445;176,555175;858,125323;232,082207
231,pgm;1;2649;3485;1,129024;3,02098;76;52,898305;47,613559;54,065373;48,254157;-1,167068;-0,640598;139;155;115,500277;131,616878;-0,499885;0,205961;240,937595;1421,139862;367,291073
241,pgm;1;2637;2870;0,976865;1,719537;68;50,607692;47,942308;51,10187;48,627747;-0,494178;-0,685439;125;133;113,291078;120,781433;0,52791;0,170912;153,275229;678,819594;221,400407
251,pgm;1;2491;2630;0,822061;3,791473;65;49,717391;50,604348;50,111697;50,511814;-0,394306;0,092534;116;113;101,340738;126,631589;0,75178;0,153564;115,550311;424,073342;168,794761
261,pgm;1;2797;3226;0,956081;2,877738;71;50,570397;51,314079;52,589407;50,559356;-2,01901;0,754724;142;134;114,342478;131,260025;-0,709367;0,19624;186,745689;817,8071;303,968257
271,pgm;1;3029;2871;1,424681;5,264187;83;47,575385;48,015385;48,394237;47,861186;-0,818853;0,154198;164;159;107,732165;135,030936;0,737628;0,209101;182,543912;544,900352;301,052565
281,pgm;1;2492;2790;1,293421;6,2048;77;51,290102;50,167235;51,561908;50,335668;-0,271806;-0,168433;142;149;99,9322;129,089303;-0,755321;0,199623;192,200088;670,665661;287,918361
291,pgm;1;2533;2362;1,124506;4,693454;66;48,848375;51,534296;48,146476;53,787334;0,701899;-2,253038;132;144;100,405136;122,825445;-0,15715;0,183233;187,102942;874,398136;253,067449
301,pgm;1;1670;1746;0,988598;3,485476;43;48,810427;53,78673;50,01493;54,552986;-1,204503;-0,766256;111;96;82,148645;103,089451;0,417618;0,134227;131,830966;784,046795;136,74811
311,pgm;1;2973;3219;1,095816;1,176949;76;51,017123;48,496575;51,231912;47,981266;-0,214789;0,515309;142;148;123,182281;124,993085;-0,668133;0,200881;207,041505;972,221609;325,029525
321,pgm;1;3466;3382;0,87245;1,666096;64;50,113139;52,408759;50,410485;52,212763;-0,297346;0,195996;141;133;128,592991;132,981535;0,046527;0,202672;207,871722;1104,266702;359,405146
331,pgm;1;2660;2898;1,098611;3,490957;70;49,729242;47,281588;50,565131;47,650054;-0,835889;-0,368466;136;140;107,887736;127,617054;0,134229;0,178773;177,337178;909,036116;249,704757
341,pgm;1;2315;2907;1,102734;3,457051;73;52,144981;48,052045;52,998277;47,955573;-0,853295;0,096472;135;133;111,368124;118,170829;0,283085;0,179586;187,295813;979,327038;255,987365
351,pgm;1;2805;2777;0,919773;2,06554;61;50,527559;48,751969;49,660874;48,797743;0,866685;-0,045774;122;131;111,357757;124,785915;-0,764314;0,169622;169,613803;982,722874;235,739091
361,pgm;1;3178;3210;0,848631;1,993284;65;48,471264;50,938697;49,566374;49,770038;-1,09511;1,16866;135;125;120,463469;132,369405;-0,710687;0,181298;154,154523;653,265477;258,357252
371,pgm;1;2886;2942;1,132579;3,908631;78;50,135417;48,458333;50,343857;48,770762;-0,208441;-0,312429;140;146;110,635288;131,502475;0,66111;0,193179;171,995093;591,866917;274,95586
381,pgm;1;2942;3050;1,171505;4,230689;73;47,658147;48,884984;49,967623;48,892023;-2,309477;-0,007039;169;143;112,612472;127,92152;-0,177053;0,202711;205,572599;896,450616;313,023963
391,pgm;1;2973;3088;0,908176;2,256742;60;49,726236;52,361217;50,422208;51,262993;-0,695972;1,098224;137;125;117,832242;127,903846;-0,36461;0,186852;196,089369;1110,822691;298,279302
401,pgm;1;3188;3883;0,966178;2,999515;76;51,602564;51,958333;53,523547;50,704568;-1,920983;1,253765;164;147;130,604176;133,583909;0,099069;0,235369;280,92568;1602,521073;497,43105
411,pgm;1;3259;3429;1,05667;2,848659;82;49,375796;46,394904;51,37515;48,353319;-1,999353;-1,958415;157;156;126,331857;130,704086;-0,476458;0,208988;202,869609;870,474812;347,245238
421,pgm;1;3361;3516;1,133686;2,448863;82;51,472843;47,916933;51,099026;48,8764;0,373818;-0,959467;150;161;125,689441;136,734476;-0,774711;0,222273;257,410838;1417,900823;432,257348
431,pgm;1;2538;3045;1,085809;3,236519;65;51,387681;48,148551;52,165861;48,489522;-0,778179;-0,340971;133;142;107,308711;129,188756;-0,767495;0,185521;212,434418;1346,209895;294,875707
441,pgm;1;2127;3007;1,294621;2,939871;77;53,746667;50,136667;54,621932;49,625049;-0,875266;0,511618;145;153;107,132857;119,927083;-0,147253;0,210559;266,90874;1493,567498;366,134941
451,pgm;1;2874;2827;1,157809;4,445986;79;50,611111;47,916667;49,934573;47,554113;0,676538;0,362553;136;151;107,226569;131,768479;-0,658304;0,191845;168,681172;565,644233;264,80723
461,pgm;1;3205;3230;1,242719;3,576661;80;49,015674;50,454545;50,630303;51,03683;-1,614629;-0,582284;161;156;117,607177;134,897154;-0,565482;0,221705;224,724277;907,747767;385,417982
471,pgm;1;2321;2901;1,062121;2,377567;70;53,431818;48,143939;53,315588;48,701072;0,11623;-0,557133;124;139;107,497677;120,748027;0,41262;0,179686;197,659964;1135,77106;266,344498
481,pgm;1;2890;3143;0,926321;2,065822;72;51,528302;49,075472;51,754848;49,66849;-0,226546;-0,593018;131;132;119,362502;126,285654;0,602476;0,184196;172,951921;789,376989;272,573526
491,pgm;1;2890;3143;0,926321;2,065822;72;51,528302;49,075472;51,754848;49,66849;-0,226546;-0,593018;131;132;119,362502;126,285654;0,602476;0,184196;172,951921;789,376989;272,573526
501,pgm;1;3130;3451;0,901231;4,249927;78;52,300366;51,985348;51,883604;51,960796;0,416762;0,024552;135;136;114,741581;143,180563;0,743623;0,205895;184,899295;711,709914;340,544562
511,pgm;1;2117;3065;0,975229;3,62391;64;52,815094;49,354717;55,873022;50,414512;-3,057928;-1,059795;135;128;108,031493;120,897503;-0,664186;0,182009;204,845862;1182,879231;279,86373
002,pgm;2;0;797;1,343571;10,908481;53;55,696356;57,356275;83,283563;51,14931;-27,587207;6,206965;133;112;84,139248;122,442203;0,139276;0,191951;260,259228;1665,744968;319,442018
012,pgm;2;0;951;1,307502;13,37073;25;53,890909;65,283636;81,925342;65,553102;-28,034433;-0,269466;185;87;72,407608;133,500653;0,468716;0,236713;450,929515;3961,918726;574,201968
022,pgm;2;0;677;1,152085;13,904449;48;65,494163;53,669261;89,081241;50,184638;-23,587077;3,484623;86;170;78,185963;131,834195;-0,74945;0,222002;407,099562;3595,673999;521,311226
032,pgm;2;0;1310;1,20773;13,317242;27;49,57193;64,677193;79,075573;67,344275;-29,503643;-2,667082;189;93;84,579908;141,476467;0,418024;0,23765;410,446928;3257,379808;559,239062
042,pgm;2;0;726;1,32633;13,374642;44;61,550173;52,249135;87,150138;54,600551;-25,599965;-2,351416;106;180;66,520641;137,22572;0,692235;0,230388;459,657035;4356,819615;556,044982
052,pgm;2;0;570;1,156141;10,831187;47;59,055556;58,337302;84,638596;49,487719;-25,583041;8,849582;121;127;86,410326;120,219991;0,487967;0,208172;334,656436;2551,671187;418,573624
062,pgm;2;0;466;1,038978;9,144122;65;51,859438;56,895582;80,67382;37,366953;-28,814382;19,52863;136;113;89,797659;128,518849;-0,136195;0,185824;205,64266;1028,939571;271,941884
072,pgm;2;0;575;0,976548;8,697807;101;59,517857;48,610714;83,146087;21,53913;-23,62823;27,071584;144;135;117,841343;125,770151;-0,155365;0,217334;272,298878;1397,263238;410,783442
082,pgm;2;0;671;1,332577;9,67778;52;55,343511;62,736641;87,202683;51,265276;-31,859171;11,471366;144;118;91,389687;137,421108;0,050277;0,227968;337,664177;2334,985096;495,13207
092,pgm;2;0;432;1,26904;8,927333;76;53,629032;53,875;85,895833;32,203704;-32,266801;21,671296;130;116;94,971136;133,670391;-0,242786;0,184984;188,750629;857,360588;267,675922
102,pgm;2;0;2215;1,164057;13,599824;108;56,974684;54,009494;76,680813;42,044244;-19,706129;11,96525;150;164;104,83271;128,727817;-0,51738;0,249188;344,822892;1827,73606;513,196954
112,pgm;2;0;1717;1,01521;13,433981;95;49,449664;53,630872;74,126383;39,398369;-24,676719;14,232503;156;134;97,105001;133,958807;-0,559846;0,209567;207,099167;658,954882;311,475525
122,pgm;2;64;2670;1,19949;12,725181;96;54,996667;44,186667;71,547184;46,232626;-16,550517;-2,04596;120;178;92,027675;117,876104;-0,223418;0,191245;217,060817;1056,469288;264,308908
132,pgm;2;0;145;1,111373;8,989392;57;57,792627;55,092166;83,689655;35,717241;-25,897028;19,374925;123;94;86,993382;126,20892;0,316895;0,170208;212,433883;1506,055835;266,512466
142,pgm;2;0;566;1,088809;9,136794;111;63,844358;49,023346;82,659011;19,818021;-18,814653;29,205325;116;141;89,599144;130,055427;-0,710188;0,206584;235,75946;1033,869947;343,31014
152,pgm;2;0;1480;1,446202;12,445427;90;63,902439;53,616725;84,685135;44,027703;-20,782696;9,589022;132;153;104,211263;115,366547;-0,187262;0,243056;395,518859;2586,063598;544,205273
162,pgm;2;0;1239;1,136148;13,217105;67;65,10728;57,003831;86,369653;49,438257;-21,262373;7,565575;118;142;90,578569;122,427668;0,397772;0,233281;417,847135;3475,541384;559,085298
172,pgm;2;0;908;1,119113;11,58624;88;60,277567;51,558935;80,995595;34,69163;-20,718028;16,867305;126;136;98,374151;112,673721;-0,410975;0,202247;263,908057;1425,406429;337,447351
182,pgm;2;0;1294;1,188224;13,69823;22;50,415638;62,720165;74,594281;70,027048;-24,178643;-7,306883;161;79;72,985101;131,51672;0,470921;0,191715;288,860753;2315,310792;348,063953
192,pgm;2;0;708;1,645661;10,520255;16;50,580508;64,326271;73,225989;65,963277;-22,64548;-1,637006;154;79;72,90416;108,020354;0,332761;0,183082;262,89564;1841,218172;290,352756
202,pgm;2;0;601;1,025401;10,62432;91;61,254545;50,654545;86,146423;32,522463;-24,891877;18,132083;118;153;104,209929;123,819249;0,59992;0,218761;328,728611;2129,897324;445,214838
212,pgm;2;271;1880;1,406798;13,702981;62;49,101974;59,940789;67,88145;63,188749;-18,779477;-3,24796;194;107;82,895468;119,130459;0,206969;0,22254;345,936334;2093,933907;411,304029
222,pgm;2;173;2271;1,090445;11,687503;82;50,607143;53,407143;67,548691;50,975041;-16,941548;2,432102;165;113;92,704521;109,956648;-0,254035;0,187773;220,242775;1044,046328;257,815221
232,pgm;2;0;1591;1,428585;12,522436;79;55,281879;57,09396;78,726587;52,526084;-23,444708;4,567876;164;132;88,869845;123,916457;0,038514;0,23152;358,503575;2283,749541;458,563576
242,pgm;2;0;714;1,658916;11,716818;40;54,596639;58,718487;78,481793;57,254902;-23,885154;1,463585;141;94;67,993195;111,956529;0,166802;0,178524;244,769154;1623,95586;265,445591
252,pgm;2;0;1;0,07958;10,863848;48;56,222222;54,715556;63;87;-6,777778;-32,284444;130;94;73,139866;113,400822;0,497883;0,164088;217,856261;1571,608464;236,442356
262,pgm;2;0;1479;1,610375;12,019573;92;58,086207;45,689655;75,576741;46,567951;-17,490534;-0,878296;125;160;76,348414;103,468358;0,295132;0,188354;272,263721;1615,561121;268,374314
272,pgm;2;134;2395;1,46812;13,263637;95;51,136905;57,479167;70,370898;52,005536;-19,233993;5,473631;191;143;92,306795;126,134495;-0,416522;0,250177;347,718667;1487,732131;483,548755
282,pgm;2;70;1765;1,282991;13,617068;59;48,268707;60,812925;70,114986;60,152044;-21,846279;0,660882;191;100;88,51495;120,4604;0,213489;0,218286;324,146026;1901,48972;396,341363
292,pgm;2;0;1164;1,1027;10,630984;108;56,254417;52,738516;74,328179;32,156357;-18,073762;20,582159;129;153;85,034783;117,289418;-0,663373;0,205391;247,466655;1099,901548;311,480877
302,pgm;2;0;1857;1,297447;12,726533;93;53,714754;52,895082;73,400108;45,95315;-19,685354;6,941932;171;133;93,286471;113,267299;0,011159;0,214382;302,102288;1612,752118;359,47783
312,pgm;2;0;2043;1,421024;12,686786;98;54,970326;53,667656;77,792952;47,602056;-22,822625;6,0656;182;151;100,401198;125,225123;0,093592;0,253157;406,82322;2480,915491;542,647552
322,pgm;2;0;325;0,971853;6,724228;94;65,871595;50,972763;83,003077;14,381538;-17,131482;36,591224;122;134;103,842939;126,49207;0,740311;0,221309;289,088097;1630,997379;446,177829
332,pgm;2;0;1990;1,210733;16,213718;109;63,320285;56,44484;79,236683;38,838693;-15,916399;17,606146;106;175;75,396276;143,991856;0,720738;0,24859;308,937895;1302,488524;500,995761
342,pgm;2;133;2663;1,093397;13,041305;88;52,369718;50,09507;70,045064;51,595494;-17,675346;-1,500423;158;125;93,230512;120,711245;0,12077;0,190452;232,356066;1262,586649;281,363337
352,pgm;2;0;824;1,211468;10,870362;87;57,277397;54,130137;77,332524;35,008495;-20,055127;19,121642;142;148;102,519114;129,865896;0,308505;0,231315;356,477505;2513,585576;494,77959
362,pgm;2;0;1213;0,929044;11,535669;115;56,328671;52,188811;79,479802;30,737016;-23,151131;21,451796;134;151;105,903176;137,168602;-0,211077;0,222322;270,714153;1437,436959;416,349229
372,pgm;2;0;1363;1,64788;11,989834;65;50,847176;58,803987;76,785033;56,416728;-25,937857;2,387259;175;123;90,544447;127,752657;0,022736;0,228031;327,711089;1836,469067;428,735738
